71,SUPERMERCADO ,AUTOSERVICIO LOS MUELLES,TV 1E No 70-01 ,SUAMOX
72,SUPERMERCADO ,SIN NOMBRE,TV 1E No 69-67 ,SUAMOX
73,SUPERMERCADO ,LA FAVORITA,TV 0A No 70-12 ,SUAMOX
74,SUPERMERCADO ,SUPERMERCADO ARVEL,CLL 1 No 6B 16 LC 18,FLORIDA
75,SUPERMERCADO ,LAURA SUPERTIENDA,CLL 3 No 9-22 ,FLORIDA
76,SUPERMERCADO ,HIPERMERCADO MI GRANJA,DG 68 No 03-05 MUISCAS,MUISCAS
77,SUPERMERCADO ,AUTOSERVICIO LUCIANA,DG 69 No 0A-03 MUISCAS,MUISCAS 
78,SUPERMERCADO ,HIPERMERCADO LOS 15,CLL 5 SUR No 8-06 ,SAN FRANCISCO
79,SUPERMERCADO ,AUTOSERVICIO EL PORTAL,CLL 5B No 7-60 SAN FRANCISCO,
80,SUPERMERCADO ,SUPERMERCADO SUPERMINI,DG 67 No 2-62 MUISCAS,
81,SUPERMERCADO ,AUTOSERVICIO LA REGALIA,CLL 7S No 13-30 SAN CARLOS,
83,SUPERMERCADO ,LA ALACENA,CLL 66 No 6-46 EL NOGAL,
,SUPERMERCADO ,MERCADOS DON MANUEL,KRA 11 No 5-60 OBRERO,
85,SUPERMERCADO ,SIN NOMBRE,CLL 63 No 9-12 ASIS,
86,SUPERMERCADO ,LUZMAR,KRA 8 No 63-14 ASIS,
87,SUPERMERCADO ,DIVERFRUTAS,CLL 63 No 8-15 VILLA LUZ,
88,SUPERMERCADO ,SUPERTIENDA LA 63,DG 63 No 8-44 ASIS,
89,SUPERMERCADO ,AUTOSERVICIO ROA,KRA 11 No 7-43 LIBERTADOR,
90,SUPERMERCADO ,CHISPAZO SUR,KRA 11 No 8-12 OBRERO,
91,SUPERMERCADO ,SUPERMERCADO SANTA BARBARA,KRA 11 No 17-94 SANTA BARBARA,
92,SUPERMERCADO ,PUNTO DE VENTA LA 61 ,DG 61 No 10-03 VILLA LUZ,
93,SUPERMERCADO ,SIN NOMBRE,DG 61 No 6-09 ASIS,
94,SUPERMERCADO ,SUPERMERCADO LA VILLA,KRA 8A No 60-05 VILLA LUZ,
95,SUPERMERCADO ,AUTOVILLA,CLL 60 No 6-03 VILLA LUZ,
96,SUPERMERCADO ,ANGELES HIPERMERCADO,AV NORTE No 60-06 SANTA ANA,
97,SUPERMERCADO ,AUTOSERVICIO SANTA ANA,TV 3A No 59-18 SANTA ANA,
98,SUPERMERCADO ,CHISPAZO MEGA ,CLL 17 No 9-42 CENTRO,
99,SUPERMERCADO ,AUTOSERVICIO EL PINAR,TV 2 No 66A-20 MUISCAS,
100,SUPERMERCADO ,SUPERTIENDAS Y DROGUERIAS OLIMPICA,AV NORTE No 47A-40 J.J CAMACHO,
101,SUPERMERCADO ,CORATIENDAS,KRA 12 No 7-37 SAN CARLOS,
102,SUPERMERCADO ,PARAISO SUR,,
103,SUPERMERCADO ,CHISPAZO CENTRO,CLL 17 No 10-42 CENTRO,
104,SUPERMERCADO ,DEL CAMPO FRUVER PLAZA,AV NORTE No 35-48 MESOPOTAMIA,
105,SUPERMERCADO ,DELIFRUVER LA PRADERA,KRA 11 No 15-64 SANTA BARBARA,
106,SUPERMERCADO ,VIVERES MERCOTODO,KRA 10 No 11A-02 AQUIMIN,
107,SUPERMERCADO ,SUPERMERCADO MALDONADO,KRA 10 No 28-63 MALDONADO,
108,SUPERMERCADO ,MERCASUR,KRA 13 No 6A-33 SUR,
109,SUPERMERCADO ,CONFITERIA EL TOPO,CLL 19 No 14-24 EL TOPO,
110,SUPERMERCADO ,FRUTAS Y VERDURAS TODO A DOSMIL,AV COLON No 29-23 20 DE JULIO ,
111,SUPERMERCADO ,VIVERES SAN RAFAEL,KRA 11 No 27-93 20 DE JULIO,
112,SUPERMERCADO ,SIN NOMBRE,KRA 15 No 19-30 EL TOPO,
113,SUPERMERCADO ,LA REBAJA PLUS MINIMARKET ,KRA 6 No 33-12 MESOPOTAMIA,
114,SUPERMERCADO ,FRUTIMAX,KRA 6 No 36-06 MESOPOTAMIA,
115,SUPERMERCADO ,PUNTO VERDE,CLL 5 No 3-25 MZ1 CASA 17 COOSERVICIOS,
116,SUPERMERCADO ,COMERCIAL LA TORRE S.A.S,KRA 3E No 6-89 C.C. SOL DE ORIENTE,
117,SUPERMERCADO ,CAMPOS DE YANET,KRA 4A No 8-06 SAN ANTONIO,
118,SUPERMERCADO ,SIN NOMBRE,CLL 4B No 4A-81 VILLA BACHUE,
119,SUPERMERCADO ,SIN NOMBRE,KRA 3 No 3A-39 COOSERVICIOS,
120,SUPERMERCADO ,FRUTAS Y VERDURAS,CLL 24 No 6A-46 LAS NIEVES,
121,SUPERMERCADO ,VIVERES LA ESQUINA,CLL 24 No 6-93 LAS NIEVES,
122,SUPERMERCADO ,AUTOSERVICIO MERCAGRANDE,CLL 48 No 7-44 LC 1 J.J. CAMACHO,
123,SUPERMERCADO ,AUTOSERVICIO J.J.,KRA 8 No 47-06 J.J. CAMACHO,
124,SUPERMERCADO ,SIN NOMBRE,KRA 8 No 47B-22 J.J. CAMACHO,
125,SUPERMERCADO ,MERCAFRUVER,KRA 1 No 40-26 LA ESMERALDA,
131,SUPERMERCADO ,SIN NOMBRE,KRA 1 No 28-17 DORADO,
132,SUPERMERCADO ,SUPERMERCADO JM,KRA 8E No 28-15 DORADO,
133,SUPERMERCADO ,SIN NOMBRE,KRA 15A No 11-09 PARAISO,
134,SUPERMERCADO ,MI VIA LACTEA,CLL 15 No 4-29 PATRIOTAS,
135,SUPERMERCADO ,DELIFRUVER,KRA 15 No 15-17 RICAURTE,
136,SUPERMERCADO ,MI HUERTICA CAMPESINA,DG 17 No 15-86 EL TOPO,
137,SUPERMERCADO ,DELCAMPO ,AV NORTE # 35-48,MEZOPOTAMIA 
